sample_ID,country,site,Cu_extract,Fe_extract,Mn_extract,Zn_extract,Cu_per_kg,Fe_per_kg,Mn_per_kg,Zn_per_kg
BF_lo_10_soil_cal,BF,lo,0.0701,2.91,2.79,0.62,0.1402,5.82,5.58,1.24
BF_lo_11_soil_cal,BF,lo,0.0755,2.25,2.83,0.68,0.151,4.5,5.66,1.36
BF_lo_12_soil_cal,BF,lo,0.0684,7.11,1.8,0.799,0.1368,14.22,3.6,1.598
BF_lo_13_soil_cal,BF,lo,0.0569,4.96,2.51,0.709,0.1138,9.92,5.02,1.418
BF_lo_14_soil_cal,BF,lo,0.056,4.03,5.69,0.594,0.112,8.06,11.38,1.188
BF_lo_15_soil_cal,BF,lo,0.0476,1.39,1.89,1.02,0.0952,2.78,3.78,2.04
BF_lo_16_soil_cal,BF,lo,0.0566,3.66,3.4,0.457,0.1132,7.32,6.8,0.914
BF_lo_17_soil_cal,BF,lo,0.0469,2.93,1.68,0.644,0.0938,5.86,3.36,1.288
BF_lo_18_soil_cal,BF,lo,0.049,5.2,3.75,0.54,0.098,10.4,7.5,1.08
BF_lo_19_soil_cal,BF,lo,0.0478,4.25,3.22,0.527,0.0956,8.5,6.44,1.054
BF_lo_20_soil_cal,BF,lo,0.0706,4.5,2.76,0.521,0.1412,9,5.52,1.042
BF_mo_01_soil_cal,BF,mo,0.541,95,5.06,0.945,1.082,190,10.12,1.89
BF_mo_02_soil_cal,BF,mo,0.202,15.3,2.84,0.788,0.404,30.6,5.68,1.576
BF_mo_03_soil_cal,BF,mo,0.0748,3.31,2.34,0.693,0.1496,6.62,4.68,1.386
BF_mo_04_soil_cal,BF,mo,0.723,68.5,3.35,0.724,1.446,137,6.7,1.448
BF_mo_05_soil_cal,BF,mo,0.0984,4.89,2.89,0.803,0.1968,9.78,5.78,1.606
BF_mo_06_soil_cal,BF,mo,0.106,3.86,2.29,1,0.212,7.72,4.58,2
BF_mo_07_soil_cal,BF,mo,0.25,14.6,5.02,1.04,0.5,29.2,10.04,2.08
BF_mo_08_soil_cal,BF,mo,0.367,108,3.74,0.979,0.734,216,7.48,1.958
BF_mo_09_soil_cal,BF,mo,0.0764,1.79,2.38,0.559,0.1528,3.58,4.76,1.118
BF_mo_10_soil_cal,BF,mo,0.0475,4.37,2.15,0.343,0.095,8.74,4.3,0.686
BF_mo_11_soil_cal,BF,mo,0.084,5.25,3.28,0.962,0.168,10.5,6.56,1.924
BF_mo_12_soil_cal,BF,mo,0.0623,3.1,2.13,0.718,0.1246,6.2,4.26,1.436
BF_mo_13_soil_cal,BF,mo,0.156,5.98,5.08,1.1,0.312,11.96,10.16,2.2
BF_mo_14_soil_cal,BF,mo,0.0861,3.65,2.16,0.53,0.1722,7.3,4.32,1.06
BF_mo_15_soil_cal,BF,mo,0.0672,3.72,1.83,0.89,0.1344,7.44,3.66,1.78
BF_mo_16_soil_cal,BF,mo,0.0834,4.74,3.25,0.757,0.1668,9.48,6.5,1.514
BF_mo_17_soil_cal,BF,mo,0.0559,2.1,2.54,0.612,0.1118,4.2,5.08,1.224
BF_mo_18_soil_cal,BF,mo,0.0536,4.49,3.13,0.734,0.1072,8.98,6.26,1.468
BF_mo_19_soil_cal,BF,mo,0.0935,4.28,2.25,0.686,0.187,8.56,4.5,1.372
BF_mo_20_soil_cal,BF,mo,0.103,3.05,3.74,0.863,0.206,6.1,7.48,1.726
CI_sb_YAMS_0001,CI,sb_icraf,0.535,40.6,3.52,0.308,1.07,81.2,7.04,0.616
CI_sb_YAMS_0002,CI,sb_icraf,0.135,24.6,2.98,0.105,0.27,49.2,5.96,0.21
CI_sb_YAMS_0003,CI,sb_icraf,0.286,39.6,2.1,0.179,0.572,79.2,4.2,0.358
CI_sb_YAMS_0004,CI,sb_icraf,0.296,7.2,6.03,0.823,0.592,14.4,12.06,1.646
CI_sb_YAMS_0005,CI,sb_icraf,0.38,8.75,10.7,0.494,0.76,17.5,21.4,0.988
CI_sb_YAMS_0006,CI,sb_icraf,0.542,12.7,15.7,0.788,1.084,25.4,31.4,1.576
CI_tb_01_soil_cal,CI,tb,0.256,15.7,12.8,5.66,0.512,31.4,25.6,11.32
CI_tb_20_soil_cal,CI,tb,0.376,140,6.09,0.997,0.752,280,12.18,1.994
CI_sb_20_soil_cal,CI,sb,0.25,8.6,12.2,1.56,0.5,17.2,24.4,3.12
BF_lo_01_soil_cal,BF,lo,0.0658,4.09,2.78,1.16,0.1316,8.18,5.56,2.32
BF_lo_20_soil_cal,BF,lo,0.0691,4.41,3.35,0.533,0.1382,8.82,6.7,1.066
BF_mo_01_soil_cal,BF,mo,0.537,96.2,5.96,1.13,1.074,192.4,11.92,2.26
BF_mo_20_soil_cal,BF,mo,0.106,4.75,4.78,0.859,0.212,9.5,9.56,1.718
CI_sb_YAMS_0007,CI,sb_icraf,0.588,405,4.05,0.574,1.176,810,8.1,1.148
CI_sb_YAMS_0008,CI,sb_icraf,0.748,21.7,6.98,0.309,1.496,43.4,13.96,0.618
CI_sb_YAMS_0009,CI,sb_icraf,0.175,20.5,2.35,0.505,0.35,41,4.7,1.01
CI_sb_YAMS_0010,CI,sb_icraf,0.328,13.5,2.62,0.275,0.656,27,5.24,0.55
CI_sb_YAMS_0011,CI,sb_icraf,0.0559,45.2,3.3,0.198,0.1118,90.4,6.6,0.396
CI_sb_YAMS_0012,CI,sb_icraf,0.674,6.1,8.25,0.612,1.348,12.2,16.5,1.224
CI_sb_YAMS_0013,CI,sb_icraf,0.221,22.4,4.64,0.328,0.442,44.8,9.28,0.656
CI_sb_YAMS_0014,CI,sb_icraf,0.352,19,10.9,0.237,0.704,38,21.8,0.474
